item_id,content
112A1,"高アンモニア血症をきたす疾患はどれか。
Gaucher病 | von Gierke病 | Hurler症候群 | メープルシロップ尿症 | オルニチントランスカルバミラーゼ欠損症"
112A10,"遠点が50cm、近点が25cmの成人の眼の調節力はどれか。
1.0D | 2.0D | 4.0D | 6.0D | 8.0D"
112A11,"免疫性血小板減少性紫斑病〈ITP〉について正しいのはどれか。
先天性疾患である。 | 骨髄の巨核球が減少する。 | 皮下出血を起こしやすい。 | 関節内出血を起こしやすい。 | 筋肉内出血を起こしやすい。"
112A12,"発症3日目の急性心筋梗塞の患者に、収縮期雑音が突然、出現した。原因として考えられるのはどれか。2つ選べ。
大動脈弁閉鎖不全症 | 左室自由壁破裂 | 解離性大動脈瘤 | 心室中隔穿孔 | 乳頭筋断裂"
112A13,"大腿ヘルニアについて正しいのはどれか。2つ選べ。
男性に多い。 | 両側性が多い。 | 嵌頓しやすい。 | 高齢者に多い。 | 大腿動脈の外側に触れる。"
112A15,"妊娠初期の超音波検査で診断できるのはどれか。3つ選べ。
稽留流産 | 異所性妊娠 | 胎児発育不全 | 胎児 21 trisomy | 2絨毛膜2羊膜性双胎"
112A17,"62歳の男性。胸部食道癌の術後に人工呼吸から離脱できず、アンピシリンの投与を受けていた。術後3日目の朝、39.1℃の発熱と喀痰増加がみられ、胸部エックス線写真で右下肺野に新たな浸潤影を認めた。血液および喀痰培養を行い抗菌薬を変更したが、術後4日目になっても39℃を超える熱が持続している。培養検査の結果はまだ判明していない。この時点の対応として適切でないのはどれか。
上体を30度挙上する。 | ドレーン排液の性状を確認する。 | 気管チューブのカフ圧を確認する。 | 抗菌薬を再度変更する。 | 創部の状態を確認する。"
112A18,"54歳の女性。持続する腰痛、胸郭変形および諸検査の異常のため来院した。2年前から腰痛があり、自宅近くの整形外科医院で非ステロイド性抗炎症薬を処方されていたが痛みは持続し、半年前から胸郭が変形し身長が12cm低くなった。最近、腰痛が増悪し、歯の痛みや全身のしびれ感も出現したために、血液検査とエックス線撮影が施行されたところ、骨折線を伴う著明な骨変形を含む多数の異常を指摘され紹介されて受診した。身長138cm、体重40kg。体温36.5℃。脈拍84/分、整。血圧150/96mmHg。眼險結膜と眼球結膜とに異常を認めない。口腔内は湿潤しており、う歯を多数認める。表在リンパ節に腫大を認めない。胸郭は変形と陥凹が著明である。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝・脾を触知しない。脳神経に異常を認めない。上肢の筋力は正常だが、体幹と下肢の筋力は痛みのために低下している。腱反射は下肢で減弱している。血液所見：赤血球412万、Hb 13.5g/dL、白血球5,800、血小板22万。血液生化学所見：総蛋白7.4g/dL、アルブミン4.5g/dL、総ビリルビン0.7mg/dL、AST 21U/L、ALT 15U/L、ALP 1,725U/L（基準115〜359）、γ-GTP 10U/L（基準8〜50）、尿素窒素14mg/dL、クレアチニン0.6mg/dL、Na 144mEq/L、K 4.7mEq/L、Cl 109mEq/L、Ca 8.7mg/dL、P 0.9mg/dL。CRP 0.1mg/dL。考えられるのはどれか。
腫瘍性骨軟化症 | 腎性骨異栄養症 | 閉経後骨粗鬆症 | 偽性副甲状腺機能低下症 | 原発性副甲状腺機能亢進症"
112A2,"続発性無汗症の原因とならないのはどれか。
糖尿病 | Fabry病 | Sjögren症候群 | 甲状腺機能低下症 | 自家感作性皮膚炎"
112A20,"22歳の男性。炎天下での道路工事の作業中に頭痛と悪心が出現し、会社の車で来院した。建設作業員。17歳時に自然気胸のため入院している。家族歴に特記すべきことはない。意識レベルはJCS I-1。身長172cm、体重57kg。体温38.9℃。脈拍124/分、整。血圧96/48mmHg。呼吸数12/分。発汗なし。体幹部から末梢にかけて熱感を認める。瞳孔径は両側4mmで対光反射は正常である。臥位で頸静脈の虚脱を認める。心音と呼吸音とに異常を認めない。下腿に浮腫を認めない。輸液を受け、症状は軽快した。同じ勤務に復帰する上で適切な指導はどれか。
塩分の摂取を控える。 | 短時間の作業から開始する。 | 冷房の効いた屋内で過ごすことは避ける。 | 通気性を抑えた作業服の着用を推奨する。 | 水分は少ない回数で一度に大量に摂取する。"
