item_id,content
0,"[表の読み取り] 以下は去年の各月の営業状況を示した表です。去年の売り上げ金額の年平均はいくらですか。
### 表
月 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12
-- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | --
売り上げ個数(個) | 5123 | 8314 | 6134 | 7632 | 8297 | 9033 | 10305 | 12028 | 13927 | 8239 | 9245 | 9549
売り上げ(百万円) | 5 | 8 | 6 | 7 | 8 | 9 | 10 | 12 | 13 | 8 | 9 | 9
利益(百万円) | 1 | 3 | 2 | 2 | 5 | 4 | 4 | 8 | 8 | 3 | 4 | 5"
1,"[表の読み取り] 以下は去年の各月の営業状況を示した表です。去年の月毎の売り上げ個数の最高値と最低値の差は何個ですか。
### 表
月,1,2,3,4,5,6,7,8,9,10,11,12
売り上げ個数(個),5123,8314,6134,7632,8297,9033,10305,12028,13927,8239,9245,9549
売り上げ(百万円),5,8,6,7,8,9,10,12,13,8,9,9
利益(百万円),1,3,2,2,5,4,4,8,8,3,4,5"
2,"[表の読み取り] ある宅配便は、料金が荷物の大きさによって決まっている。各大きさによる運送料金は以下の表の通りである。
大きさ４０cmのものと、１m２０cmのものをそれぞれ一つずつ配送を頼んだ場合、料金はいくらになるか。
### 表
大きさ        10cm以下        10 - 30cm        30cm - 1m        1m以上
料金        300円        500円        620円        1000円"
3,"[表の読み取り] 以下の表はあるクラスの生徒50人を対象に、50点満点の数学と英語のテストを行った。 下表は、得点の組合せに分けて人数を表したものである。行名は英語の点数を、列名は数学の点数を示している。
数学と英語の少なくとも一方の得点が15点以下の生徒は、何人から何人の間と考えられるか。
### 表
[
 {
  ""＼"": ""0-9"",
  ""0-9"": 0,
  ""10-19"": 1,
  ""20-29"": 0,
  ""30-39"": 0,
  ""40-50"": 0
 },
 {
  ""＼"": ""10-19"",
  ""0-9"": 0,
  ""10-19"": 1,
  ""20-29"": 2,
  ""30-39"": 3,
  ""40-50"": 0
 },
 {
  ""＼"": ""20-29"",
  ""0-9"": 2,
  ""10-19"": 1,
  ""20-29"": 4,
  ""30-39"": 6,
  ""40-50"": 3
 },
 {
  ""＼"": ""30-39"",
  ""0-9"": 0,
  ""10-19"": 2,
  ""20-29"": 5,
  ""30-39"": 8,
  ""40-50"": 4
 },
 {
  ""＼"": ""40-50"",
  ""0-9"": 0,
  ""10-19"": 0,
  ""20-29"": 3,
  ""30-39"": 3,
  ""40-50"": 2
 }
]"
4,"[表の読み取り] 下表は、Ｐ県の耕地面積と、その使用内訳を割合を表したものです。
Ｐ県の果樹地の耕地面積が9800haのとき、Ｐ県の田の耕地面積の割合は何%になるか？
### 表
耕地面積 | 35000ha
-- | --
田 | ?
果樹園 | ? 
牧草地 | 22％
その他 | 24％"
5,"[論理パズル] 冷蔵庫のプリンが誰かに食べられてしまった。
Aさんは「犯人はBさんです」と発言した。 Bさん,Cさんもある発言をした。
その後、 『犯人はAさん, Bさん, Cさんのうち誰か1人』 『犯人だけが発言で本当のことを言った』 ということが分かった。
犯人は誰？"
6,"[論理パズル] Aさん,Bさんがじゃんけんで10回勝負をした。
Aさんは、グーを3回、チョキを6回、パーを1回出した。 Bさんは、グーを2回、チョキを4回、パーを4回出した。 あいこには一度もならなかった。 2人が何の手をどの順番で出したかは分からない。
さて、勝ったのはどちらだろうか？"
7,[論理パズル] 100円玉を4枚持っている人が170円のお菓子を買った。その時もらったお釣りはいくら？
8,"[論理パズル] なぞなぞです。以下の数式の?に入る数字はなんでしょう？
2+5=12
3+6=21
4+7=32
8+11=?"
9,"[論理パズル] [論理パズル]
以下の?に入る数字を答えなさい。
10 = 3
11 = 5
20 = 4
1 = 2
38 = 7
123 = ?"
