model,LaSEuuNG54CdpH9KCxTnZ3,WFFEvxz8jWpSksta4Xv9zD,QGpFDyyng6eQuLsZmCXHN3,PAZ7fffXvj4QBQ85Qanvyn,6G4fJmXCGovwKtGhYCa5nU,VkpknoHhkkJMefyo2TdZqe,MftiU6RXAZed46kn3BDADs,9paEifSShnovXWLnGUGnfR,BLwn5wtTHP7keBboTjefVR,kDgoPDmeRva4WGUEW4J5Ed,HPs7uHdZstxvxxHHZCyfjy,mmbkGLz7MicqB7XDzstNrA,Qx79cAxrfZvKmxhGikNgAq,aaHFmZQMcNwHeztxhTUx7G,RKR8ZqDoVzxq35zA9cPKVd,6FHsD3yRQKYto8msEWotGs,KPKgSk3vGQApejNEBdAhmB,daB5K9rQt6KjBUH3MfvG3r,V2xXcqRGqN25cURWVL3jjL,5AXKayng4qcjqfnstB9a97,mereioLeijZLUmoKgqoGbV,GR3CS2ez3i28cxremJwsbr,JxeXujiCXaB6cfLJBuBmjz,TbeKdk2jhfTfZ7fJFDDdp9,BVrHxYkpy6FSU673oYYkkL,RYBJcPB4RzqNPBwTf92mF4,DdpiNif4J8HQkhNboLi3PR,gSdNvEPgxUcrnq34pJGwxQ,5DmYaffmH7SMg5JDoYoxwp,RLWXLsMw3nfX8RShVgZN5u,A6ABxN4UiLSAEg9o5LG7rg,56Mq79ZAzSiJTppo9Z3ghS,QCc9qsyPyuYmJCSCCrcd4b,GcC3o8Aim4GomGL5sjQpKc,M8m5TZL66PJGodRgMQZVxK,CwkkWjBySsr4pEN5PDhHjQ,V7bUjFGgCcKU4Xz3p9zpm4,XPfkQA2Y6TYsyjq3PiWJPa,Ms5tjifAoCaPuCSkEMhzXw,eXwkFgRKqVHn2EPpSWBNsF
AXCXEPT__EZO-Qwen2.5-72B-Instruct,0.9,0.3,0.8,0.2,1.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9,0.8,1.0,0.9,0.9,0.9,0.9,1.0,1.0
CohereForAI__aya-23-35b,1.0,0.2,0.7,0.3,0.7,0.7,0.6,0.2,0.9,1.0,0.6,0.7,0.9,0.8,0.8,0.6,0.8,0.1,0.4,0.8,0.7,0.6,0.3,0.4,0.8,0.1,0.1,0.6,0.9,0.7,0.9,0.2,0.8,1.0,0.9,0.6,0.4,0.8,0.8,0.7
CohereForAI__aya-expanse-32b,1.0,0.7,0.7,0.4,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.7,0.8,0.7,0.9,0.8,0.6,0.8,0.8,0.2,0.8,0.8,0.9,1.0,0.7,0.9,0.8,0.8,0.7,0.9,1.0,0.8,0.9,0.8,0.8,0.8,0.9
CohereForAI__c4ai-command-r-plus,1.0,0.7,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.9,0.8
CohereForAI__c4ai-command-r-plus-08-2024,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.6,1.0,0.9,0.8,0.8,0.9,0.6,0.4,0.7,0.5,0.7,0.7,0.9,0.9,0.6,0.6,0.9,0.8,0.8,0.9,0.7,0.9,0.8,0.8,0.9
CohereForAI__c4ai-command-r-v01,1.0,0.8,0.4,0.2,0.9,0.9,0.6,0.8,1.0,1.0,1.0,0.9,0.9,1.0,0.8,0.8,0.8,1.0,0.9,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,0.8,0.8
DataPilot__ArrowPro-7B-KUJIRA,0.9,0.6,0.8,,1.0,0.8,0.7,0.8,0.8,1.0,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.8,0.8
DataPilot__ArrowPro-7B-RobinHood,0.9,0.3,0.8,0.2,0.8,0.9,0.8,0.4,0.8,0.9,0.9,,1.0,0.9,1.0,0.9,0.9,0.9,0.9,,0.9,0.9,0.9,0.9,0.8,0.9,1.0,0.9,0.8,0.7,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.9,0.9
DeepSeek-V3-Q2_K_XS,0.9,1.0,0.8,0.7,0.9,0.9,0.9,0.8,1.0,0.8,1.0,0.9,0.9,0.9,0.7,0.8,1.0,1.0,0.9,0.8,0.8,0.9,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9
DeepSeek-V3-Q5_K_M,1.0,0.8,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.8,0.9,0.9
