item_id,content
LaSEuuNG54CdpH9KCxTnZ3,[地理] 四国地方の４つの都道府県名と、それぞれの県庁所在地を列挙してください。
WFFEvxz8jWpSksta4Xv9zD,[地理] 日本の最北端と最南端に位置する地名を答えてください。また、それぞれどの都道府県に所属するかも記述してください。
QGpFDyyng6eQuLsZmCXHN3,[地理] 日本にはいくつかの主要な川が流れています。信濃川、吉野川、利根川の源流と流れる主要な都道府県を答えてください。
PAZ7fffXvj4QBQ85Qanvyn,[地理] 富士山は日本で最も高い山ですが、それに次ぐ高さを誇る山二つを挙げ、それぞれの所在地を記述してください。
6G4fJmXCGovwKtGhYCa5nU,[地理] 北海道の主要な都市5つを挙げ、それぞれの地理的特徴について簡単に説明してください。
VkpknoHhkkJMefyo2TdZqe,[地理] 日本には多数の火山があります。活火山として知られる3つの山を挙げ、それぞれの火山が存在する都道府県を記述してください。
MftiU6RXAZed46kn3BDADs,[地理] 日本の三大都市圏（首都圏、近畿圏、中部圏）の各中心都市と、それぞれの都市圏を構成する主要な都道府県を列挙してください。
9paEifSShnovXWLnGUGnfR,[地理] 日本の都道府県の中で人口が最も少ないのはどこですか？その理由となる地理的な特性について説明してください。
BLwn5wtTHP7keBboTjefVR,[地理] 日本の主要な海運路を一つ挙げてください。また、その海運路が日本の物流や交通にどのように寄与しているかについて説明してください。
kDgoPDmeRva4WGUEW4J5Ed,[地理] 熊野古道は、日本のどの地方に位置し、主に何のために使われていましたか
HPs7uHdZstxvxxHHZCyfjy,[政治] 日本の三権分立について説明し、それぞれの権力がどのように機能しているか述べてください。
mmbkGLz7MicqB7XDzstNrA,[政治] 戦後の日本政治において最も影響力のあった政治家を一人挙げ、その貢献について詳しく述べてください。
Qx79cAxrfZvKmxhGikNgAq,[政治] 憲法改正に関する討論は日本の政治にどのような影響を与えていると思われますか？その理由も合わせて説明してください。
aaHFmZQMcNwHeztxhTUx7G,[政治] 一票の格差問題とは何か説明し、これが日本の政治にどのような影響を及ぼしているかを論じてください。
RKR8ZqDoVzxq35zA9cPKVd,[政治] 日本の議院内閣制度を説明し、そのメリットとデメリットを詳述してください。
6FHsD3yRQKYto8msEWotGs,[政治] 自由民主党と立憲民主党の主な政策の違いについて説明してください。
KPKgSk3vGQApejNEBdAhmB,[政治] 日本の政治において「政策決定プロセス」はどのように機能していると思いますか？その理由も合わせて説明してください。
daB5K9rQt6KjBUH3MfvG3r,[政治] 日本の政治における公務員制度の役割について説明してください。
V2xXcqRGqN25cURWVL3jjL,[政治] 最近の日本の選挙で注目された課題を一つ挙げ、その課題が日本社会に及ぼす影響について分析してください。
5AXKayng4qcjqfnstB9a97,[政治] 治安維持法や安保法制など、特定の法律が日本の政治史に与えた影響について詳しく述べてください。
mereioLeijZLUmoKgqoGbV,[歴史] 古代日本における最初の政体である「ヤマト政権」の特徴を3つ述べ、それらが当時の日本社会にどのような影響を与えたか詳しく説明してください。
GR3CS2ez3i28cxremJwsbr,[歴史] 平安時代に成立した貴族社会の特徴を述べ、それが日本文化（文学、芸術、宗教など）にどのように影響を与えたかについて論じてください。
JxeXujiCXaB6cfLJBuBmjz,[歴史] 鎌倉幕府の成立に至った背景を説明し、これが日本の歴史に及ぼした影響について述べてください。
TbeKdk2jhfTfZ7fJFDDdp9,[歴史] 室町時代に起こった「応仁の乱」について説明し、その結果と影響について詳述してください。
BVrHxYkpy6FSU673oYYkkL,[歴史] 江戸時代の階級制度を説明し、これが当時の日本社会にどのような影響を及ぼしたか詳細に述べてください。
RYBJcPB4RzqNPBwTf92mF4,[歴史] 幕末に西洋と接触した結果、日本で生じた社会変革について説明してください。
DdpiNif4J8HQkhNboLi3PR,[歴史] 明治維新後の日本が西洋から採用した政治制度と、それが日本の近代化にどのように貢献したかについて説明してください。
gSdNvEPgxUcrnq34pJGwxQ,[歴史] 太平洋戦争の経緯と、戦後の日本社会への影響について述べてください。
5DmYaffmH7SMg5JDoYoxwp,[歴史] 戦後の高度経済成長時代について説明し、それが日本の現代社会にどのような影響を与えたかについて述べてください。
RLWXLsMw3nfX8RShVgZN5u,[歴史] 江戸時代の「鎖国」政策について説明し、その中で外国との交流が許された数か所について述べてください。
A6ABxN4UiLSAEg9o5LG7rg,[社会] 平成時代から令和時代への移行期に見られた社会的、政治的な変化を挙げ、その意義について説明してください。
56Mq79ZAzSiJTppo9Z3ghS,[社会] 日本の「三位一体改革」について述べ、その経済に対する影響について解説してください。
QCc9qsyPyuYmJCSCCrcd4b,[社会] 高齢化社会が日本の労働力と経済全体にどのような影響を及ぼしているかについて説明してください。
GcC3o8Aim4GomGL5sjQpKc,[社会] 日本の地方経済を活性化するための政策や戦略を2つ提案し、それらがどのように機能するのかを説明してください。
M8m5TZL66PJGodRgMQZVxK,[社会] アベノミクスの「三本の矢」政策とその結果について詳しく述べてください。その成果や限界についても述べてください。
CwkkWjBySsr4pEN5PDhHjQ,[社会] 過去10年間で日本の所得格差がどのように変化したかを説明し、それが何を示しているのかについて解説してください。
V7bUjFGgCcKU4Xz3p9zpm4,[社会] 日本のエネルギー政策と環境保護のバランスについて、現状と改善策を提案してください。
XPfkQA2Y6TYsyjq3PiWJPa,[社会] 日本の労働市場の女性活躍推進に関する政策とその結果について説明してください。
Ms5tjifAoCaPuCSkEMhzXw,[社会] コロナウイルスが日本経済に及ぼした影響と、それに対する政府の対策を評価してください。
eXwkFgRKqVHn2EPpSWBNsF,[社会] 消費税の引き上げが日本の経済に与えた影響を評価してください。
