item_id,content
0,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
How do I detail a car?<|im_end|>
"
1,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Who created the Superman cartoon character?<|im_end|>
"
2,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
What is Atlantis?<|im_end|>
"
3,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Hi, I'm in the mood for a Bloody Mary. Can you give me a recipe for making one?<|im_end|>
"
4,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
what are some good ways to spread ashes?<|im_end|>
"
5,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Ukrainian dishes. Can you give me a recipe for Okroshka?<|im_end|>
"
6,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Tunisian dishes. Can you give me a recipe Tunisian Kammounia?<|im_end|>
"
7,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Can you tell me a very easy to way clean a showerhead?<|im_end|>
"
8,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
I need to get my nephew a birthday gift. I'm thinking of giving him a game for his Nintendo Switch. Can you give me a few options that came out recently?<|im_end|>
"
9,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
What are places to visit in Montgomery, Alabama?<|im_end|>
"
10,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Hi, I'd like to play ice hockey. Can you explain how the game works?<|im_end|>
"
11,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Hi, I'd like to learn to bake challah. Can you give me a recipe for that?<|im_end|>
"
12,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Hong Kong  dishes. Can you give me a recipe for Tong Sui?<|im_end|>
"
13,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
How can I spice things up in the bedroom?<|im_end|>
"
14,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Can you tell me how to make chocolate chip cookies?<|im_end|>
"
15,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
How is oil turned into gasoline?<|im_end|>
"
16,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Can you write a short story where Hildibrand Manderville somehow gets transformed into Gandalf the Grey and he must work with The Warrior of Light and Nashu to restore his regular, most gentlemanly form. <|im_end|>
"
17,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
I'm currently studying Bioengineering in Argentina, focusing on computational neuroscience. I'll be graduating in May, and planning to apply to PhD programs in the US at the end of the year in order to start August 2024. I'm thinking of what to do/study during this year until my program starts. Could you give me ideas? Feel free to ask me for questions which would help you give me better suggestions.<|im_end|>
"
18,"[alpacaeval-easy] <|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
Give me a sample 5 day itienary for a switzerland holiday, starting from Basel<|im_end|>
"
